id,text,first_name,last_name,title,time
38788,I see every single day that this economy is not working for average Americans.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38789,"The indicators that are being used, from GDP to Wall Street's rankings, is not helping people in my community.",Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38790,"It is about time that we have an economy that works for everybody, not just the wealthiest in our nation.",Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38791,"But quickly, Senator Booker, you did say that you didn't think it was right to name names, to name companies and single them out, as Senator Warren has.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38792,"Briefly, why is that?",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38793,"Well, again, I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that.",Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38912,So here's what I propose for an industrial policy.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38794,"And when it comes to antitrust law, what I will do is, number one, appoint judges that will enforce it, number two, have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration.",Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38795,"At the end of the day, we have too much of a problem with corporate power growing.",Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38796,We see that with everything from Citizens United and the way they're trying to influence Washington.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38797,It's about time that we have a president that fights for the people in this country,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38798,"That's time, sir.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38799,We need to have someone that's a champion for them.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38800,"Thank you, Senator.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38801,"Senator Warren, I mentioned you  Are you picking winners and losers?",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38802,"So the way I understand this, it's there is way too much consolidation now in giant industries in this country.",Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38803,That hurts workers.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38804,It hurts small businesses.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38805,It hurts independent farmers.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38806,It hurts our economy overall.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38807,And it helps constrict real innovation and growth in this economy.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38808,"Now, look, we've had the laws out there for a long time to be able to fight back.",Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38809,"What's been missing is courage, courage in Washington to take on the giants.",Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38810,That's part of the corruption in this system.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38811,"It has been far too long that the monopolies have been making the campaign contributions, have been funding the super PACs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington.",Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38812,"Where I want to start this is I want to return government to the people, and that means calling out the names of the monopolists and saying I have the courage to go after them.",Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38813,Thank you.,Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38814,"Secretary Castro, the next question is for you.",Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38815,Democrats have been talking about the pay gap for decades.,Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38816,What would you do to ensure that women are paid fairly in this country?,Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38817,"Thank you very much for that question, Lester.",Julian,Castro,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38818,"You know, I grew up with a mother who raised my brother, Joaquin, and me as a single parent.",Julian,Castro,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38819,And I know what it's like to struggle.,Julian,Castro,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38820,"I know what it's like to rent a home and to worry about whether you're going to be able to pay the rent at the first of the month and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they're women.",Julian,Castro,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38821,"I would do several things, starting with something we should have done a long time ago, which is to pass the Equal Rights Amendment finally in this country.",Julian,Castro,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38822,And also pursue legislation so that women are paid equal pay for equal work in this country.,Julian,Castro,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38823,It's past time that we did that.,Julian,Castro,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38824,"And, you know, we have to do this.",Julian,Castro,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38825,"If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.",Julian,Castro,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38826,"All right, thank you.",Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38827,I want to put the same question to Congresswoman Gabbard.,Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38828,Your thoughts on equal pay?,Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38829,"First of all, let's recognize the situation we're in, that the American people deserve a president who will put your interests ahead of the rich and powerful.",Tulsi,Gabbard,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38830,That's not what we have right now.,Tulsi,Gabbard,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38831,I enlisted in the Army National Guard after the Al Qaida terror attacks on 9/11 so I could go after those who had attacked us on that day.,Tulsi,Gabbard,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38832,I still serve as a major.,Tulsi,Gabbard,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38833,"I served over 16 years, deployed twice to the Middle East, and in Congress served on the Foreign Affairs and Armed Services Affairs for over six years.",Tulsi,Gabbard,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38834,"I know the importance of our national security, as well as the terribly high cost of war.",Tulsi,Gabbard,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38835,"And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war and arms race, costing us trillions of our hard-earned taxpayer dollars and countless lives.",Tulsi,Gabbard,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38836,This insanity must end.,Tulsi,Gabbard,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38837,"As president, I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs, things like health care, a green economy, good-paying jobs, protecting our environment, and so much more.",Tulsi,Gabbard,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38838,"Mayor De Blasio, good evening.",Jose,Diaz-Balart,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38839,"You're the mayor of the biggest city in the United States, but it's also one of the cities in the country with the greatest gap between the wealthy and the poor.",Jose,Diaz-Balart,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38840,How would you address income inequality?,Jose,Diaz-Balart,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
